date,total_cases,recovered,active_cases,total_deaths
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,1,0,1,0
2020-03-03,1,0,1,0
2020-03-04,1,0,1,0
2020-03-05,2,0,2,0
2020-03-06,2,0,2,0
2020-03-07,2,0,2,0
2020-03-08,2,0,2,0
2020-03-09,2,0,2,0
2020-03-10,3,0,2,1
2020-03-11,6,0,5,1
2020-03-12,6,0,5,1
2020-03-13,7,1,5,1
2020-03-14,18,1,16,1
2020-03-15,28,1,26,1
2020-03-16,37,1,35,1
2020-03-17,44,1,41,2
2020-03-18,54,1,51,2
2020-03-19,63,2,59,2
2020-03-20,86,2,81,3
2020-03-21,96,3,90,3
2020-03-22,115,3,108,4
2020-03-23,143,5,134,4
2020-03-24,170,6,159,5
2020-03-25,225,7,212,6
2020-03-26,275,8,256,11
2020-03-27,345,11,311,23
2020-03-28,402,12,365,25
2020-03-29,479,13,440,26
2020-03-30,556,15,508,33
2020-03-31,617,24,557,36
2020-04-01,654,29,586,39
2020-04-02,708,31,633,44
2020-04-03,791,57,686,48
2020-04-04,919,66,794,59
2020-04-05,1021,76,875,70
2020-04-06,1120,81,959,80
2020-04-07,1184,93,1001,90
2020-04-08,1275,97,1085,93
2020-04-09,1374,109,1168,97
2020-04-10,1448,122,1219,107
2020-04-11,1545,146,1288,111
2020-04-12,1661,177,1366,118
2020-04-13,1763,203,1434,126
2020-04-14,1888,217,1545,126
2020-04-15,2024,229,1668,127
2020-04-16,2283,249,1904,130
2020-04-17,2564,281,2148,135
2020-04-18,2685,314,2234,137
2020-04-19,2855,327,2387,141
2020-04-20,3046,350,2553,143
2020-04-21,3209,393,2671,145
2020-04-22,3446,417,2880,149
2020-04-23,3568,456,2957,155
2020-04-24,3758,486,3114,158
2020-04-25,3897,537,3201,159
2020-04-26,4065,593,3311,161
2020-04-27,4120,695,3263,162
2020-04-28,4252,778,3309,165
2020-04-29,4321,928,3225,168
2020-04-30,4423,984,3269,170
2020-05-01,4569,1083,3315,171
2020-05-02,4729,1256,3300,173
2020-05-03,4903,1438,3291,174
2020-05-04,5053,1653,3221,179
2020-05-05,5219,1838,3200,181
2020-05-06,5408,2017,3208,183
2020-05-07,5548,2179,3186,183
2020-05-08,5711,2324,3201,186
2020-05-09,5910,2461,3263,186
2020-05-10,6063,2554,3321,188
2020-05-11,6281,2811,3282,188
2020-05-12,6418,2991,3239,188
2020-05-13,6512,3131,3193,188
2020-05-14,6607,3310,3107,190
2020-05-15,6652,3400,3062,190
2020-05-16,6741,3487,3062,192
2020-05-17,6870,3660,3018,192
2020-05-18,6952,3758,3002,192
2020-05-19,7023,3901,2929,193
2020-05-20,7133,4098,2841,194
2020-05-21,7211,4280,2735,196
2020-05-22,7332,4377,2758,197
2020-05-23,7406,4638,2570,198
2020-05-24,7433,4703,2531,199
2020-05-25,7532,4774,2558,200
2020-05-26,7577,4881,2494,202
2020-05-27,7601,4978,2421,202
2020-05-28,7643,5195,2246,202
2020-05-29,7714,5271,2241,202
2020-05-30,7780,5401,2175,204
2020-05-31,7807,5459,2143,205
2020-06-01,7833,5893,1735,205
2020-06-02,7866,6410,1250,206
2020-06-03,7922,6866,850,206
2020-06-04,8003,7195,600,208
2020-06-05,8071,7268,595,208
2020-06-06,8151,7315,628,208
2020-06-07,8224,7364,652,208
2020-06-08,8302,7408,686,208
2020-06-09,8437,7493,734,210
2020-06-10,8508,7565,732,211
2020-06-11,8537,7583,743,211
2020-06-12,8610,7618,780,212
2020-06-13,8692,7696,784,212
2020-06-14,8793,7765,816,212
2020-06-15,8885,7828,845,212
2020-06-16,8931,7937,782,212
2020-06-17,8997,7993,791,213
2020-06-18,9074,8041,820,213
2020-06-19,9613,8117,1283,213
2020-06-20,9839,8223,1403,213
2020-06-21,9977,8284,1479,214
2020-06-22,10172,8366,1592,214
2020-06-23,10344,8407,1723,214
2020-06-24,10907,8468,2223,216
2020-06-25,11338,8500,2621,217
2020-06-26,11633,8656,2759,218
2020-06-27,11877,8723,2934,220
2020-06-28,12052,8740,3091,221
2020-06-29,12290,8833,3232,225
2020-06-30,12533,8920,3385,228
2020-07-01,12636,9026,3382,228
2020-07-02,12969,9090,3650,229
2020-07-03,13288,9160,3898,230
2020-07-04,13822,9329,4261,232
2020-07-05,14215,9725,4255,235
2020-07-06,14379,10173,3969,237
2020-07-07,14607,10639,3728,240
2020-07-08,14771,11316,3213,242
2020-07-09,15079,11447,3390,242
2020-07-10,15328,11827,3258,243
2020-07-11,15542,12065,3232,245
2020-07-12,15745,12283,3212,250
2020-07-13,15936,12934,2747,255
2020-07-14,16097,13442,2398,257
2020-07-15,16262,13821,2182,259
2020-07-16,16545,13965,2317,263
2020-07-17,16726,14360,2102,264
2020-07-18,17015,14620,2126,269
2020-07-19,17236,14921,2042,273
2020-07-20,17562,15132,2154,276
2020-07-21,17742,15389,2073,280
2020-07-22,17962,15636,2041,285
2020-07-23,18264,15872,2100,292
2020-07-24,18834,16100,2435,299
2020-07-25,19645,16282,3058,305
2020-07-26,20278,16438,3527,313
2020-07-27,20887,16553,4018,316
2020-07-28,21387,17066,3994,327
2020-07-29,22213,17125,4754,334
2020-07-30,23259,17311,5602,346
2020-07-31,24322,17658,6311,353
2020-08-01,25015,17960,6688,367
2020-08-02,25537,18435,6720,382
2020-08-03,26196,18968,6827,401
2020-08-04,27217,19629,7171,417
2020-08-05,28500,19994,8071,435
2020-08-06,29644,20553,8642,449
2020-08-07,30662,21548,8653,461
